"","TIMESTAMP","D19_D","D28_W","D31_D","D33_D","D39_W","D4_W","D43_D","D7_D","D15_W","D25_W"
"1",2023-07-01,8120.061,8138.923,7207.647,6654.53,6930.413,7600.027,7394.523,7795.917,8599.217,9018.467
"2",2023-07-01 00:10:00,8122.238,8139.741,7208.699,6656.51,6931.69,7601.229,7395.876,7796.517,8600.479,9020.1
"3",2023-07-01 00:20:00,8123.88,8141.76,7210.501,6657.309,6933.718,7602.656,7397.302,7798.921,8602.422,9021.521
"4",2023-07-01 00:30:00,8125.329,8142.681,7213.13,6659.8,6935.746,7604.233,7398.955,7800.648,8604.559,9023.13
"5",2023-07-01 00:40:00,8127.542,8144.667,7214.483,6661.103,6937.098,7604.233,7399.931,7802.376,8606.771,9023.459
"6",2023-07-01 00:50:00,8129.661,8145.429,7215.534,6662.466,6938.074,7605.285,7401.358,7803.878,8607.61,9025.429
"7",2023-07-01 01:00:00,8130.115,8147.241,7216.886,6663.373,6939.577,7606.787,7403.236,7805.155,8610.101,9026.939
"8",2023-07-01 01:10:00,8133.057,8148.146,7218.237,6664.429,6941.68,7607.237,7405.64,7806.958,8611.761,9028.976
"9",2023-07-01 01:20:00,8134.491,8149.957,7219.29,6666.692,6942.206,7608.815,7406.315,7808.31,8612.893,9030.334
"10",2023-07-01 01:30:00,8136.075,8151.164,7219.665,6668.276,6943.107,7610.242,7407.893,7809.662,8614.1,9032.371
"11",2023-07-01 01:40:00,8136.829,8152.145,7220.716,6669.409,6943.783,7610.618,7410.372,7811.54,8615.985,9033.729
"12",2023-07-01 01:50:00,8139.017,8153.729,7221.843,6669.483,6944.759,7611.745,7411.874,7813.192,8617.494,9034.936
"13",2023-07-01 02:00:00,8139.47,8154.182,7222.669,6670.54,6944.759,7613.096,7412.024,7814.544,8618.928,9035.389
"14",2023-07-01 02:10:00,8140.602,8154.483,7223.721,6672.577,6944.984,7614.599,7413.301,7815.37,8619.607,9035.69
"15",2023-07-01 02:20:00,8141.941,8155.823,7224.548,6674.435,6946.036,7615.5,7414.353,7816.271,8622.006,9036.056
"16",2023-07-01 02:30:00,8142.478,8157.568,7225.599,6675.737,6946.262,7616.176,7415.329,7816.497,8623.834,9038.814
"17",2023-07-01 02:40:00,8143.111,8159.787,7225.674,6676.141,6946.487,7616.251,7416.606,7817.548,8625.864,9039.35
"18",2023-07-01 02:50:00,8143.527,8161.259,7226.425,6676.293,6947.763,7616.626,7417.958,7818.6,8626.061,9039.637
"19",2023-07-01 03:00:00,8143.849,8162.034,7227.177,6676.725,6947.763,7617.678,7418.859,7820.103,8626.477,9041.041
"20",2023-07-01 03:10:00,8146.496,8164.53,7227.177,6678.526,6948.364,7618.88,7419.685,7820.553,8628.299,9041.357
"21",2023-07-01 03:20:00,8146.519,8164.629,7227.366,6679.602,6949.079,7619.298,7420.327,7820.596,8629.529,9041.986
"22",2023-07-01 03:30:00,8146.525,8165.691,7227.441,6679.683,6949.376,7620.202,7421.906,7820.677,8631.197,9042.899
"23",2023-07-01 03:40:00,8146.526,8166.22,7228.792,6680.438,6949.647,7621.646,7422.873,7820.983,8632.48,9042.977
"24",2023-07-01 03:50:00,8146.526,8167.655,7229.36,6682.4,6949.921,7622.979,7423.315,7822.492,8632.556,9042.977
"25",2023-07-01 04:00:00,8147.206,8167.655,7230.278,6682.626,6950.304,7623.234,7424.766,7823.956,8634.064,9042.977
